1월 8일,1월 12일,2월 27일,2월 28일,3월 4일,3월 19일,3월 20일,5월 3일,5월 15일,5월 20일,7월 15일,8월 2일,8월 8일,11월 6일,11월 11일
[부고] 김현기(용인시 공보관)씨 부친상,"한진 ""글로벌 인재 2명 영입…미주·중국 사업 다각화""","편의점 CU, 삼일절 맞아 고객 참여형 기부 캠페인",경남 전 해역 저수온 특보 해제…양식어류 폐사 없어,"[공연소식] 국립국악원, '창작국악 1세대' 이강덕 조명","수도권대기환경청, 부적합 요소수 연중 집중 단속","호텔·리조트 민간투자 끌어낸다…경북도, TF 가동","정부, 법원에 ""내년 의대 모집인원 확정 아냐"" 해명자료","4월 ICT 수출 2년 만에 30％대 증가율…""고부가 반도체 견인""","성남시, 8월부터 '실외 자율주행 로봇 배달' 시작",김예지 '장애인열람실 없는 공공도서관 이제 그만' 법안 발의,부천 제외 경기도 전역 폭염경보,"한동훈 ""취약계층 130만가구 전기요금 1만5천원 추가 지원""","식약처, 무인매장·배달음식점 집중 점검…치킨·마라탕 등",중고차 매물 올려놓고 돈만 받아 잠적…피해자 수십명
"[CES 현장] 'D-2'…CTA 회장, 100주년 행사 앞두고 직접 현장 점검","5·18 폄훼' 신문 돌린 인천시의장 고발…""허위사실 유포""","전남도, 외국인 계절근로자 인권 침해 방지",국립극단 74년 역사상 첫 로봇배우 무대에…연극 '천 개의 파랑',"[게시판] 넥센타이어 디자인 작품, iF 디자인 어워드서 본상","[특징주] DL, 올해 영업이익 개선 전망에 15% 급등",[그래픽] 을지로4가역 삼풍상가·PJ호텔 도심공원 개발,"한화로보틱스, 배민 서빙로봇 운영사와 매장 자동화 '맞손'","충남도, 지역축제 먹거리 위생 합동 검사","이베스트증권, 27일 한양대서 대학생 주식투자 강연회",[인사] 인사혁신처,"DL이앤씨, 10년째 '사랑의 빵 만들기' 봉사…소외계층에 전달","현대엘리베이터-카카오모빌리티, 승강기·로봇 연동서비스 맞손",화장실서 어깨 부딪혀 시비…갈비뼈 부러뜨린 40대 징역형,"[게시판] 기보, 태국신용보증공사와 협력 협약"
충남 농가에 '충남한우' 정액 3년차 우선 공급…1만4천 스트로,경남관광기념품점에서 설 선물을…지역특산물 할인판매,"[게시판] 볼보자동차, '볼보 레이디스 데이' 참가자 모집","[게시판] 식약처, 식품안전나라 홈페이지 수요 조사","경기도, KTX 파주 연장 등 12개 신규 사업 정부에 건의",기자로 변신한 김하늘의 '멱살 한번'…2.8％로 출발,[특징주] '주주환원 세제 혜택' 정부 방침에 금융주 강세,유럽 판매 급감…러 가스회사 가스프롬 20여년 만에 최대 손실,인천·강화에 강풍주의보…인천 앞바다엔 풍랑주의보,"김호중, 결국 음주운전 시인…구속영장 신청 검토","유럽 출장 나서는 홍명보 감독 ""외국인 코치 철학·비전 듣고자""",1983년 '청소년 축구 4강' 기적 전한 조춘제 아나운서 별세,"스위프트 비엔나 콘서트, 테러 모의로 취소…용의자 체포","경복궁담에 기대 요가한 베트남 여성…서경덕 ""문화재 훼손 우려""","""러, 북한군 포함 5만명 집결…곧 쿠르스크 공격"""
"군 ""북한, 6일 개머리진지서 포사격 전후로 10여회 폭약 터트려""",대만 총통선거 D-1…中상하이공항에 '투표 귀향' 대만인 행렬,"LIV 골프 ""마쓰야마 영입은 여전히 현재진행형""","[게시판] 지니TV 키즈랜드, 스콜라스틱 콘텐츠 440편 무료 제공",광주시·산하 사업소 공무직 19명 통합채용,"메시, 햄스트링 부상으로 아르헨티나 3월 친선전 '결장'",[특징주] 감사보고서 제출 지연 코스닥 기업들 급락,"한온시스템, 채용 연계형 인턴 모집",대전곤충생태관 나비 특별기획전 17∼26일 개최,"""현장 목소리 듣는다""…군포시, 찾아가는 이동시장실 운영","박찬대 ""국민 죽음 덮는 대통령과 여당, 존재할 이유 있나""",수도권 물류센터 공급과잉에 공실률 급등…매매도 부진,"[게시판] 하이트진로, 쪽방촌에 냉장고·삼계탕 기부","롯데재단, 울산서 김장나눔대잔치…소외계층에 1만포기 제공","""나 물개 수신!""…우크라, 북한군 암호 감청 공개"
제20회 울산쇠부리축제 5월 10일 개막…슬로건 공모,[픽! 태안] 겨울철 효자 작목 냉이 수확 한창,"윤재옥 ""민주당, 경기동부연합이 국회 들어오면 책임져야""","CJ ENM, 팬덤 플랫폼 '플러스챗 2.0' 출시…앨범 구매도 가능","공천 배제' 임종석 ""당 결정 수용""…민주당 잔류",의협 간부에 첫 면허정지…의대교수들 25일 사직,"박용진 꺾은 조수진 ""유시민이 '길에서 배지 줍는다' 반농담""","학생·교사가 콘텐츠 제작…경기교육청, 크리에이터 모집",,"""어려운 금융용어 쉽게""…KB증권 언어가이드 제작","지니언스, 제로트러스트 도입 시범사업 수주","한동훈, 다음 주 4선 이상 與중진들과 릴레이 오찬 회동","미래운용, 미국배당+3% 프리미엄 다우존스 ETF 분배금 15일 지급","HMM, 시리아 난민 위한 국제 구호물품 운송 후원","현대글로비스, 한국경영과학응용대상…AI로 공급망 관리 효율화"
"홍익표 ""법무부, 대통령 부인 범죄 의혹 덮으려는 하수인 전락""","루이비통, 도산 스토어에서 퍼렐 윌리엄스 남성복 컬렉션 공개","호반건설, 대한적십자사 사료전시실 '디지털아카이브' 구축 지원","[게시판] SPC삼립, 평택시·롯데마트와 쌀소비 활성화 협약","롯데, '예측 가능한 수시채용' 도입…그룹 신입사원 '통합 선발'","가맹점 확대·디자인 변경…부여군, 아동급식카드 시스템 개편","2024 LCK 스프링 결승전, 올림픽공원 KSPO 돔서 개최","""과중한 근무 기록에도 뇌출혈-업무 인과관계 불인정은 위법""",,"강원랜드, 청소년 도박 중독 예방 활동 선도","농심, 누들핏 '짜파구리맛·카구리맛' 출시","與윤상현 ""이달 선제적 금리인하해야…금통위원 결단촉구""","컴투스홀딩스, '페이탈 클로'·'가이더스 제로' 퍼블리싱 계약","[게시판] 서울교통공사, 잠실역 지역특산물·서울청년창업상품 장터","기재부 ""尹정부, 위기대응·대외신인도·민간중심 경제성과"""
"정부 ""태영 자구안 이행 일부 진전""…지주사 지분 활용할 듯(종합)",부산 기장군 암자서 촛불로 화재…소나무 등 임야 소실,산단 내 폐기물처리시설 설치 안 하면 이행강제금 부과,"법무부, 근친혼금지 4촌 축소 논란에 ""방향 정해진 것 아냐""",호주대사에 이종섭 전 국방장관…외교부 공관장 인사,"경기도, 선감학원 옛터 보존·활용 용역 착수…7월부터 유해발굴","[게시판] 수협은행, 경북도와 ESG경영 업무협약…저출생기금 1천만원","이란 방문' 북한 경제대표단, 열흘 만에 귀국",,"[게시판] 0SR, 공항철도와 '철도 신뢰성 향상' 합동 워크숍","폐점 롯데백 김주석 선생 미술작품, 창원시 시설에 임시 보관","충남교육청, 난치병 학생 190명에게 성금 4억7천만원 전달","파리바게뜨, 미국서 첫 해외 가맹점 컨벤션 행사 개최",[천안소식] 노·사·민 김장나눔으로 취약계층 겨울나기 지원,보이스피싱 악용 대포폰 3천400여대 중국 반출 조직 검거
이한치한 레이스'…21일 제천 의림지 알몸마라톤대회,"캠브리지 멤버스, 2023 AFC 아시안컵 대표선수단 단복 제작",도시침수' 예보 시 지자체 피해 저감조치 의무화,"충남도, 총선 앞두고 140개 핵심 지역 현안 각 정당에 전달","정선군, 초등 꿈키움·중등 창의인재 아카데미 과정 운영","오리온 테니스단, 박예서 영입…프로야구 박정권 해설위원 장녀","CJ로지스틱스 레이싱, 명칭 변경…'오네 레이싱'으로 새출발","""올해 가정의 달 씀씀이 줄인다""…유진그룹 임직원 설문",,생방송 중 옛 연인 살해 예고…40대 유튜버 현행범 체포,"""가격 부풀려 할인하더니 위약금은 제값""…웨딩플레이션 민원 급증",횡성 등 강원 6곳 폭염경보…원주 등 12곳 폭염경보 유지,"스타벅스, 광복절 앞두고 독립유공자 후손 50명에 장학금","카카오페이證, 해외주식 2천만원 이상 옮겨오면 판매수수료 환급","""트럼프 2기, 취임 100일 내 강력하고 속도감 있는 통상정책"""
달 탐사 경쟁에 나사 대신하는 미 기업들…올해 5차례 발사,"부산시교육청, 청사 내 24시간 돌봄센터 시범운영",서울 서남권 '직·주·락' 미래 첨단도시로…도시 대개조 시동,"양구군, 겨울철 산양 먹이 주기 행사 방산면 일원서 개최","이재명 ""尹정권, '쌍특검법 통과' 국민명령 거부…심판받을 것""","엔비디아, 차세대AI칩 블랙웰 공개…젠슨 황 ""新산업혁명 구동엔진""(종합)","태백시, 사회복지시설 종사자 복지포인트 지급","""위암·췌장암 수술 후 홍삼 섭취하면 위장장애 개선 효과""",,서울시 2천500억 들여 외국인재·기업 유치…5개년 마스터플랜,[부고] 이훈(전 대구동구청장)씨 별세,국제화학올림피아드 한국대표단 금·은·동·장려 각 1명 수상,[뉴스초점] '안세영 작심발언' 진상조사 착수…BTS 슈가 음주운전 논란,강남 한복판 타짜들의 세계…650억 굴린 사무실 위장 도박장,"""졸음운전땐 커피 주문 제안""…LG전자, 미래 운전공간 혁신기술 공개"
담배 피운다고 나무란 모친 흉기로 찌른 30대,예멘 폭격·호르무즈 대치…세계 물류동맥 옥죌 중대위험 증폭,"""노인주택공급, 노인가구의 0.4%에 그쳐…특별공급제 도입 필요""",서울 지식산업센터 거래액 2년새 60% 감소,지역서점 도서정가제 완화·내국인도 도시민박 이용 가능,"[서미숙의 집수다] ""싸고 입지 좋은 곳만 산다""…연초 청약시장 양극화 심화",노란 봄' 삼척 맹방 유채꽃 축제 29일 개막,"""시험 주행하려고…"" 80㎞ 제한 국도서 205㎞ 내달린 오토바이",,"우진산전, 3천억원 규모 '美 LA 메트로 전동차 개량사업' 수주","㈜두산, 과기정통부 '보안관제 전문기업' 지정",[앵커리포트] 이제는 전 세계의 스타로…환희와 감동의 파리,"[게시판] 현대차-힐튼, 전기차 구매고객에 하와이 호텔숙박권 제공",[신간] 정신병의 신화·제국의 설계자,"대우건설 회장, 투르크메니스탄서 사업 박차…""신도시개발 지원"""
"영동군, 농업인 안전보험료 90% 지원…가입 권고",[가자전쟁 100일] 피와 보복이 불지핀 중동 화약고,"세계 속의 한국' 등 통계시각화 콘텐츠 새 단장…""활용도 제고""","""작년 새학기 준비물 금액 35.7% 늘어…이어폰 소비 급증""",분쟁조정회의 온라인 개최도 허용…소비자분쟁 효율성 높인다,"통영 해상 침몰 어선 실종자, 수중 수색 중 선내서 발견","[게시판] 에쓰오일, '문화예술&나눔 캠페인' 1억8천만원 후원",상지대 총장배 전국태권도대회 4∼12일 9일간 홍천서 개최,,"""쓰고 버리는 '티슈노동자' 안돼…21대 국회서 간호법 제정하라""","[여행소식] 터키항공, 이스탄불-토리노 노선 취항","박찬대 ""尹대통령, 국가 정상운용 자신없으면 정권 반납하라""","김홍걸 ""DJ사저 문화재지정 시도했으나 안돼…민간기념관 될것""","포스코 장인화 ""혁신적 기술로 초일류 향한 초석""","고양시, 프랑스 파리 도시공동체와 '우호 협력 의향서' 체결"
"[게시판] 교보생명, '교보통큰암보험' 출시",[가자전쟁 100일] 재조명 되는 '두 국가 체제' 전후 해법될까,초미세먼지 위기경보 시 임산부·호흡기환자 탄력근무 권고,"[당진소식] 농기계 임대, 토요일에도 가능","LG전자, 해외 상담센터에 노하우 전수…고객경험 역량 높인다","은평구, 홀몸노인 맞춤 '은빛주택 2호점' 잔여 입주자 모집",인천서 3개월간 도로 파임 5천건 발생…작년보다 60% 급증,[부고] 김승택(프로농구 SK 사무국장)씨 부친상,,"[게시판] 배민, 고립·은둔 청소년 지원 '청소년상담 1388' 홍보","임성재 ""다음 주 메이저 대회 디오픈서 좋은 성적 내겠다""",[게시판] 언론중재위 '2023년도 언론관련판결 분석보고서' 발간,"[게시판] 롯데칠성, 대구 동성로서 '새로' 팝업스토어 운영","""지배구조 규제 강화법, 기업 투자·성장 가로막을 우려""","맨유, 레스터 3-0 완파…4경기 무패로 판니스텔로이 대행체제 끝"
"이준석 ""공영방송 사장 임명동의제…10년 이상 방송경력 의무화""",[일지] 이스라엘-하마스 가자지구 전쟁 100일,"영국 투자사·미국 부동산 개발사, 인천에 60억 달러 투자","""EU 경쟁당국, MS 보안제품 끼워팔기 혐의 조사""","중국 위안웨, 여자프로테니스 ATX오픈 단식 우승","[게시판] 엔카닷컴, '카그룹 해커톤'서 '피플스 초이스' 수상",서해안 낙조 보며 걸어요' 고창서해랑길 코스 11월까지 운영,"KF, 7일 로마서 '한-G7 경제·안보·과학기술 협력' 포럼",,파출소 앞 건물에 치솟은 불길…대리석 벽면에 비친 범인의 얼굴,"트럼프 피격에 코스피 갈팡질팡…상승 출발 후 2,860대 강보합(종합)",유흥주점 여종업원 성폭행 혐의' 성동구 의원 구속기로,"학생 수 감소' 전주예술고, 특목고→ 일반고 내년 전환",[게시판] 산업별역량체계 기반 대학 교육과정 인정서 수여식 개최,"LS증권, MTS '투혼' 홈 화면 개편"
경남 청년거리문화 페스티벌 대상팀 '형동생사이' 데뷔곡 발매,"[부산소식] 부산관광공사, 정보공개 종합평가 최우수","""닌텐도, 스위치 후속게임기 내년 3월이후 출시…화면 커질 듯""","갤러리아백화점 센터시티, '생성과 소멸' 주제 미술작품 전시회",핵폐기물 처분장 갈등' 日대마도 선거서 '반대파' 시장 승리,"무소속 박완주 의원 총선 불출마 ""시민으로 소명 다하겠다""","영월군, 66억원 투입 장릉 도깨비 마을 조성","싸움독학' 애니메이션, 日 TV방송에 이어 국내 OTT에서도 공개",,전공의 이탈 3개월째…오늘 복귀 '마지노선',"""우수 산양삼 한자리에"" 16∼17일 서울 여의도 IFC몰서 전시회",[부고] 성태현(전 일동제약 전무)씨 별세,"[게시판] 루닛케어, 홈페이지·앱서 항암치료정보 제공",[그래픽] 유명산 단풍 현황,"CJ대한통운 창립 94주년…신영수 대표 ""절박함 갖고 혁신해야"""
"[게시판] 신동아건설, 수주 1조2천억원 달성·무재해 기원",영월팔경' 봉래산 정상까지 1.4㎞ 모노레일 설치,"ECB 총재 ""'디스인플레'이지만 물가 2% 복귀 더 많은 증거 필요""",대구·경북 3월 중소기업 경기전망지수 전달보다 소폭 상승,"하나은행, '하나인증서' 16개국 언어로 발급 지원",김제 황산동에 '체재형 가족실습농장' 조성…입주자 모집,평가위원 3중 관리 시스템' 도입…조달평가 공정성 확보,"[게시판] 삼화페인트, '지브리' 타카하타 이사오전에 페인트 지원",,연이자율 수천％…10억 뜯은 20대 무등록대부업자 구속기소,"제천시, '나홀로 부동산 소유권 등기신청 안내서' 1천부 제작","中관영지 ""美 반도체 추가통제에 中 반격 가능성"" 경고","폭염에 온열질환자 1,900명 넘어…양식장 피해 급증",전남 신안·진도에 강풍주의보 해제…여수 등 강풍주의보 유지,김포서 술 마시고 운전하다 승용차 전복 사고…60대 부상
"中관영지, 한미일 대화에 ""중국 발전을 저지하려는 시도""","천안시, 작년 지방세 세무조사로 탈루·은닉 세원 26억원 확보","지하철에 500만원 두고 내린 승객, 유실물 신고로 되찾아","11번가, '한국서 가장 존경받는 기업' 9년째 오픈마켓 1위","경기도, 노동자 작업복 세탁소 '블루밍' 6월 파주에 개소","S&P, 코리안리 신용등급 전망 상향","[부산소식] 부산대, 한국·호주 고등교육 개혁 포럼 참가","의대생들 '증원금지' 가처분 기각에 항고…""법원이 정부 편들어""",,[게시판] 6월5∼6일 '나이트-헤네시 장학생' 설명회 개최,태안 노인들이 해바라기 꽃동산 조성…판매 소득 창출도,"괴산군, 치매노인요양원 내년 4월 준공…30명 수용 규모",오늘 '광복절 특사' 심사위…김경수·조윤선 등 거론,美 대선 투표 속속 마무리…경합주 표심에 초미의 관심,"[특징주] 삼성전자, 5만5천원대로 밀려 52주 신저가"
"광주시·자치구, 부동산 실거래 신고 위반 25건 적발","영월군시설관리공단, 인권 경영헌장 선포","나훈아, 마지막 콘서트 예고하며 은퇴시사…""마이크 내려 놓는다""(종합)",드라마 '환상연가' 행복한 결말로 마무리…시청률 2%대,"단양군, 두 번째 산업단지 조성 추진…""2027년 착공""","비틀비틀' 취객, 운전대 잡자마자 신고…관제센터 직원 표창","경기도, '산업단지 RE100' 참여기업에 45개 인센티브 제공","폐공장 지붕 올라갔던 근로자, 채광창 깨져 8ｍ 높이서 추락사",,[그래픽] 이란 대통령 헬기 추락으로 실종,"[대전소식] 대전동부교육지원청, 방문 민원인 부채·얼음물 제공","방통위, EBS 이사 지원자 국민의견수렴 개시…44명 지원","이복현, 운용사 CEO에 ""스튜어드십 코드 적극 이행해달라""",제주 추자도·북서부 해상 풍력발전개발 우선지역 추진,현대제철 해피프리즘 가족봉사단 6기 누적봉사 5천484시간
임동호 경찰청 홍보협력계장 등 135명 총경 승진,부산 공사현장서 삼국시대 조성 추정 성곽 일부 출토,"[특징주] SK하이닉스, 경쟁 심화 우려에 장 초반 약세","[게시판] 굿리치앱, 누적 다운로드 700만건 돌파","KT, AI 통화비서에 '보이스 스타일링' 부가서비스 추가","기재차관 ""국가채무·저출산, OECD 공통위협…재정효율 중요""","현대코퍼레이션·베름, 美 유통사와 포스트바이오틱스 공급계약",니제르서 미군 떠나는 기지에 러시아군 진입…'긴장 속 동거',,"3GPP, 6G 서비스 시나리오 제주서 논의 시작","""아내를 흉기로 찔렀다"" 80대 남성 검거…피해자 사망",MLB 에인절스 간판스타 트라우트 또 무릎 수술…올 시즌 끝,전남 해남 폐교부지 과수 실증단지로 재탄생,"삼성자산 TDF, 지난달 501억원 유입…""동종펀드 중 최고액""",전남도 우수건축물 최우수상에 스믜집·신대도서관 선정
"[게시판] 롯데카드, '트립 투 로카 빠니보틀 에디션' 출시","정청래 ""이재명 살인미수 부실 수사…배후 밝히고 재수사해야""",개학 맞아 충남 지역 유치원·학교 식품 위생 점검,[게시판] 트립닷컴 메가세일 진행…일본 항공권 선착순 1+1,프로야구 유무선 유료시대…4월까지 무료·5월부터 월 5천500원,"공정위, 앤시스·휴머네틱스 결합 승인…""지배 관계 형성 안 돼""","창원시, 스타트업 육성방안 모색…4월 3일 기술창업 포럼 개최","삼성생명, '굿닥'서 임베디드보험 '굿데이 건강서비스' 출시",,"""영월군 상동읍으로 천만송이 작약꽃 보러 오세요""",인천서 집에 불 지른 50대 체포…출동 경찰관들이 진화,[신간] 나는 어떤 죽음에도 익숙해지지 않는다,"日닛케이지수, 美증시 불안에 하락 출발…장중 2%대 하락",제주도산지 등 5곳 강풍주의보 해제,제천시청 공무원 '옥순봉 출렁다리' 입장료 횡령 의혹
"LCK, 개막 앞두고 소양 교육…스포츠 윤리·계약서 등 강의","세이브더칠드런 ""이-팔 전쟁 100일, 가자 아동 영양실조 우려""",BTS 제이홉 신보 타이틀곡은 '뉴런'…정국·개코·윤미래 참여,"현대차그룹 16개 차종, 美IIHS 충돌평가서 최고·우수등급 획득","완도군-프랑스 해양치유 기업과 맞손…""전문성 강화""","인구정책 평가, 외부기관에…저고위 부위원장은 '상근' 전환",술에 취해 경찰관 낭심 발로 찬 여성 벌금 400만원,수도권제2순환도로 정남IC 부근서 5중 추돌사고…5명 중경상,,"두산로보틱스, 독일 유럽지사·네덜란드 서비스센터 구축","[특징주] KCC, 내년 역대 최대 실적 전망에 52주 신고가","잠 못 이루는 대구 시민들, 13일 연속 열대야…벌써 역대 4번째","IBK투자, 해양 데이터기업 맵시와 해운 탄소배출권 거래 지원","한국교통안전공단, '고객만족 경영 시스템' 국제 표준 인증","일구대상에 허구연 KBO 총재…""프로야구 산업화 시대 열었다"""
"법원, '백현동 추가 기소' 이재명 대표 직무정지 가처분 기각","IMF ""올해 세계 경제 성장세 유지하지만 작년보다 둔화""","지역별 뉴스·상세검색…네이버, 총선페이지 지역언론 뉴스 확대","정해인, 복권홍보대사 활동…돈의동 쪽방촌 '도시락 봉사'",스마트폰 내비 이용자 티맵 '쑥'·카카오맵 '뚝',"[동정] 강도현 과기정통 2차관, SW 공급망 보안 현장간담회","농심, 청년농부 지원 이어간다…농정원과 MOU","영월 삼돌이 마을, 제6기 귀농·귀촌 체험학교 수료",,"손흥민, 아시안컵 공백에도 17골 10도움…황희찬 빅리그 최다골",부산서 경찰관 2명에 흉기 휘두른 50대…마약 간이검사 양성,만취상태 고속도로 진입…휴가철 음주단속 2시간동안 15명 적발,"""언론의 자유를 보장하라""…연극 '보도지침' 5번째 시즌 개막","""스마트팜 시작 전 필독"" 충남농기원, 안내서 제작","영등포구, 대림3동 원지공원도서관 개관…'모두를 위한 도서관'"
[연합뉴스 이 시각 헤드라인] - 10:30,제노사이드 공방…헤이그 유엔 법정 앞 이팔 '맞불 시위',"레스터 시티서 EPL 우승한 오카자키, 올 시즌 끝으로 은퇴","이복현 ""주주환원 제고·글로벌 기준 지배구조 정착에 힘쓸것""",배우들의 연기로 메꾼 개연성…'세작' 7.8％로 종영,청주 고무 부품 제조공장서 불…1억2천만원 재산피해,"""인사 왜 안 해"" 후배 때린 광주 남구체육회 간부 송치","대통령실, 어린이날 맞아 '어린이 홈페이지' 열어",,다사다난했던 '독일파'…아쉬울 김민재와 결국 웃은 이재성,"""온라인 명품소비 매출, 2년 전보다 30% 넘게 줄어""","삼척시, 우수평생학습도시 선정…평가대상 도시 중 상위 10%",美 10년물 국채 가격 하락에 입찰도 부진…증시에도 영향,경북문화재단·안동의료원 등 종합청렴도 최하…경북도 평가,"울주 지역작가 '배자명 초대전'…""들풀 통해 생명 의미 탐구"""
40년 된 낡고 협소한 횡성 둔내우체국 올해 안에 신축·이전,"롯데관광개발, 제주에 K-뷰티 전문 편집매장 '드림 뷰티' 열어","KB증권, BC카드 '페이북' 앱 내 비대면 금융투자서비스 개시",KLPGA 싱가포르 개막전에 '시즌 2승' 타와타나낏 출전,"현대차, '더 뉴 아이오닉5' 출시…주행거리·인포테인먼트 개선","""우울증 심뇌혈관 질환 위험, 여성이 남성보다 크다""","초고령사회' 경남도, 4가지 괴로움 줄여 행복한 노후 뒷받침",자장가 들으며 스르르 잠들어볼까…경주서 자장가 콘서트 열려,,"SK에코플랜트, 쿠팡 폐기물 관리 서비스 확대","나경원 ""韓캠프 여론조사, 당심에 영향 주려는 나쁜 의도""",씨앤씨인터내셔널 2분기 영업이익 118억원…작년 대비 14.5%↑,건설장비 빌려주고도 임금체불 만연…임대계약 확인제 시행,"홈플러스, 메가푸드위크 2주차 행사…킹크랩·랍스터 반값","한약재에서 쌈 채소로' 강원농업기술원, 참당귀 잎 판로 개척"
"한컴, AI 스타트업 포티투마루에 40억원 투자","군산시, 발달장애성인 평생교육 강사 양성과정 운영…40명 모집","김윤식 전 시흥시장 與 입당…""조정식 지역구 시흥을 출마""","한총리 ""2·28 정신 계승해 공정·상식의 민주주의 사회 만들것""",[인사] KBS,"美 6월 금리인하 전망 50%안팎…골드만, 연내 인하횟수 4→3회로",[부고] 전원배(심텍 경영지원센터장)씨 모친상,[부고] 전새얀(프로배구 한국도로공사 선수)씨 부친상,,특정 신체 부위 사진 부하 여경에 보낸 경찰관 직위해제,"CU ""장마에 배달 이용 76.6% 증가…김밥·도시락 많이 찾아""","""오감만족 음식 맛보세요""…전주비빔밥축제 10월 3일 개막","쿠팡, 국민행복카드 국가 바우처 전용관 오픈…편의성 중점","中, 美 대선 결과에 촉각…속내는 트럼프보다 해리스?",타슈켄트 인하대 개교 10주년 기념식…2천여명 인재 배출
[충주소식] 농업 기술보급 시범사업 신청 19일 마감,"유튜브 채널 '요즘사', ""KBS가 표절"" 소송 냈다 패소",괴산군의원 의정활동비 월 110만원→150만원 인상,"금감원 ""보험업계, 단기실적 치중 말고 위험관리 철저히 해야""",율곡사업·평화의댐 비리 감사…황영하 전 총무처 장관 별세,"캐나다 토론토 차량 도난 기승…""40분에 한대 꼴""","작아지는 美금리인하 기대…""경제 계속 강하면 2번만 내릴 수도""","군산·남원의료원, 복지부 '경영혁신 사업' 선정…25억 확보",,한국관광 홍보영상 올해 국민과 함께 제작…대국민 이벤트 진행,"아리온호, 15번째 북극 항해…기후변화 영향 조사","[사이테크+] ""안데스산맥 빙하, 1만1천7백년 만에 최저 수준으로 줄었다""",[날씨] 폭염·열대야 기승…전국 강한 비·소나기,[美대선] 한국계 첫 상원의원 앤디 김…'아메리칸 드림' 상징된 이민2세,"여야의정協, 연말까지 성과 목표로 활동…사직전공의 복귀 등 논의"
수동성당·삼일공원 등 5곳 청주미래유산 추가 선정,"AOA 출신 유나, 내달 작곡가와 결혼…""따뜻한 사람""","[게시판] NS홈쇼핑, 임직원 자녀에게 '초등학교 입학선물'","안덕근 산업장관 ""수출 확대로 경제회복 견인…범부처역량 결집""","[게시판] 롯데건설, 초등학교 입학하는 임직원 자녀에게 축하선물","공승연·진구 등 바로엔터 배우들, 전주영화제서 관객과 토크",[부고] 김영진(전 진도그룹 회장)씨 별세,"""달 보며 놀아보세""…내일 해미읍성서 야간공연 한판",,"실종 라이시 탄 헬기는…""56년전 초도비행한 미국제 벨212 기종""","36주 만삭 낙태' 영상 논란에 복지부 ""수사 의뢰""","완도군, 온실가스 감축 이행 로드맵…""바다와 공존하는 도시""",[부고] 전원석(부산시의원)씨 장인상,"젤렌스키 ""북한 병사들과 첫 전투""…교전설 첫 확인","트럼프 2기 재무 물망 베센트 ""IRA 왜곡된 인센티브 개혁해야"""
"정선군, 56억 투입 북평면 마을 활력 공간 조성",PC방서 청불 게임 이용' 청소년에 속았다면…행정처분 면제,백제의 '마지막' 흔적일까…부여 관북리 유적서 옻칠 갑옷 확인,수출 7천억달러' 드라이브 건다…범부처 역량 결집·총력 지원,"투자은행들 S&P 500 전망 상향 '경쟁'…BofA도 5,000→5,400으로","이세돌 ""AI를 벌써 두려워하는 시각으로 봐서는 안 돼""","의협, 대표성 논란 속 새회장 선거…당선후 '강경투쟁' 가능성",슈링크플레이션' 고지 안 하면 과태료…공정위 고시 개정,,"이재명 ""특검 거부권 반복해선 안돼…국민 인내심 시험 말아야""","LG전자, 유럽 '에어솔루션연구소' 신설…""글로벌 공조시장 공략""","헤즈볼라 수장 ""새 국면…레드라인 넘어"" 이스라엘에 보복 천명",CJ바이오사이언스 홈페이지 개편…'AI 기반 혁신 기업' 시각화,JMS '성폭력 증거인멸 가담' 의혹 경찰관 검찰로 송치,"횡성군, 호주 신시장 수출 확대 총력…""시장 다변화"""
"의정부시, 위기 가구 '선 지원·후 보고'…복지 틈새 서비스","바이든 ""후티 목표물 타격 성공…필요시 추가조치 불사""",제천 돈사에서 화재…돼지 300마리 폐사,"공정위, 방한한 美 반독점국과 간담회…협력 방안 논의","경기도, 2026년까지 '기후테크 스타트업' 100개 육성","일본풍 주점에 '매국노' 안산, 명예훼손 혐의 고소 당해","서울시, '우이신설 연장선' 일괄입찰로 완공 9개월 앞당겨","HD현대, 미국 선급과 손잡고 전기추진선 국제표준 만든다",,"코지마, 안마의자 렌털 판매 개시…""고객 수요 확대""",[뉴스초점] 비판 여론 속 공식 출범 홍명보호…오늘 유럽행,"명동스퀘어 브랜드 공개…""4개 광장 색다른 매력 품는다""","대웅제약, 아크와 안질환 진단 AI 설루션 공급 계약",중부 곳곳 영하권 추위…서울 올가을 첫서리 관측,"""밥 먹을래, 나랑 살래""…'미안하다, 사랑한다' 감독판 CGV 상영"
